,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
5,CB,2022-04-18,10,20,0,8,8,7,10
6,CB,2022-04-19,29,33,-19,54,9,9,11
7,CB,2022-04-20,14,22,-19,20,10,10,11
0,CHD,2022-04-13,13,20,-19,6,14,9,8
1,CHD,2022-04-14,0,19,-19,2,12,9,8
2,CHD,2022-04-15,0,13,-19,6,9,8,7
3,CHD,2022-04-16,12,19,0,10,9,9,7
4,CHD,2022-04-17,-13,0,-19,3,7,8,7
5,CHD,2022-04-18,4,20,-20,19,6,7,7
6,CHD,2022-04-19,-8,20,-20,15,4,7,7
7,CHD,2022-04-20,2,20,-20,15,4,8,6
0,CI,2022-04-13,-16,21,-33,85,-9,-5,-3
1,CI,2022-04-14,-10,22,-31,86,-9,-6,-3
2,CI,2022-04-15,-11,20,-21,33,-12,-6,-3
3,CI,2022-04-16,-4,19,-19,19,-8,-4,-4
4,CI,2022-04-17,-23,17,-30,42,-11,-6,-5
5,CI,2022-04-18,-5,22,-26,48,-11,-7,-5
6,CI,2022-04-19,3,30,-26,98,-9,-6,-5
7,CI,2022-04-20,5,32,-27,114,-8,-8,-5
0,CINF,2022-04-13,20,20,0,3,4,7,9
1,CINF,2022-04-14,-1,18,-20,3,4,7,8
2,CINF,2022-04-15,0,0,0,7,2,5,8
3,CINF,2022-04-16,10,19,0,4,4,6,8
4,CINF,2022-04-17,0,0,0,2,4,5,7
5,CINF,2022-04-18,11,20,-20,7,6,4,7
6,CINF,2022-04-19,-9,20,-20,12,5,3,7
7,CINF,2022-04-20,20,24,-19,21,6,4,7
0,CTAS,2022-04-13,5,16,-20,27,-1,1,1
1,CTAS,2022-04-14,9,28,-15,109,0,1,2
2,CTAS,2022-04-15,1,20,0,18,0,0,2
3,CTAS,2022-04-16,0,20,-19,13,1,0,2
4,CTAS,2022-04-17,-4,0,-20,10,1,0,1
5,CTAS,2022-04-18,8,20,-20,15,2,0,2
6,CTAS,2022-04-19,13,23,-20,30,4,1,2
7,CTAS,2022-04-20,8,19,-18,22,5,1,2
0,CSCO,2022-04-13,32,49,-28,477,19,20,19
1,CSCO,2022-04-14,0,48,-48,858,17,19,19
2,CSCO,2022-04-15,-18,42,-52,950,13,16,18
3,CSCO,2022-04-16,0,45,-46,734,10,14,18
4,CSCO,2022-04-17,17,49,-42,646,10,14,17
5,CSCO,2022-04-18,14,45,-38,474,10,14,17
6,CSCO,2022-04-19,31,49,-32,609,13,15,18
7,CSCO,2022-04-20,14,45,-38,524,11,14,18
0,C,2022-04-13,20,52,-44,1223,-6,1,-2
1,C,2022-04-14,-49,48,-67,4006,-4,-1,-3
2,C,2022-04-15,0,48,-49,792,-3,2,-3
3,C,2022-04-16,-45,30,-62,1878,-6,-3,-5
4,C,2022-04-17,-62,37,-68,2946,-13,-9,-5
5,C,2022-04-18,-27,36,-68,7686,-17,-12,-6
6,C,2022-04-19,18,56,-48,1538,-15,-12,-5
7,C,2022-04-20,-49,53,-71,4720,-17,-17,-6
0,CFG,2022-04-13,9,20,-20,20,7,11,12
1,CFG,2022-04-14,14,24,-19,51,8,11,12
2,CFG,2022-04-15,17,25,-19,24,10,12,12
3,CFG,2022-04-16,4,19,-20,9,11,12,12
4,CFG,2022-04-17,15,20,-20,11,11,11,12
5,CFG,2022-04-18,16,38,-25,197,11,9,12
6,CFG,2022-04-19,10,37,-28,230,10,9,12
7,CFG,2022-04-20,5,22,-18,49,10,9,12
0,CTXS,2022-04-13,-2,38,-38,331,8,6,5
1,CTXS,2022-04-14,-1,28,-29,101,7,5,5
2,CTXS,2022-04-15,1,23,-24,57,6,5,5
3,CTXS,2022-04-16,9,19,-20,30,6,6,6
4,CTXS,2022-04-17,9,18,-19,15,6,6,6
5,CTXS,2022-04-18,5,28,-25,70,6,7,6
6,CTXS,2022-04-19,11,29,-22,84,6,8,6
7,CTXS,2022-04-20,8,32,-27,98,4,7,6
0,CLX,2022-04-13,-21,23,-39,177,4,4,4
1,CLX,2022-04-14,4,26,-23,68,3,4,1
2,CLX,2022-04-15,5,35,-27,496,3,4,2
3,CLX,2022-04-16,0,21,-21,40,1,3,2
4,CLX,2022-04-17,1,21,-21,73,2,4,2
5,CLX,2022-04-18,-1,23,-25,64,2,4,1
6,CLX,2022-04-19,5,40,-37,228,-1,3,1
7,CLX,2022-04-20,-1,26,-27,147,-1,3,2
0,CME,2022-04-13,3,19,-16,18,8,9,7
1,CME,2022-04-14,6,17,0,9,9,9,7
2,CME,2022-04-15,8,20,0,5,8,9,7
3,CME,2022-04-16,13,19,0,6,9,9,7
4,CME,2022-04-17,4,19,-20,5,9,9,7
